fill	x	y	xmin	xmax	ymin	ymax
#D5A8A3	-20	24	-45	5	-1	49
#FCF8F7	30	24	5	55	-1	49
#F2F1F8	30	74	5	55	49	99
#FDFBFB	80	74	55	105	49	99
#C0847D	80	124	55	105	99	149
#FEFBFB	130	124	105	155	99	149
#F9F1F0	130	174	105	155	149	199
#FBF6F5	180	174	155	205	149	199
#FCF9F9	180	224	155	205	199	249
#FBF6F5	230	224	205	255	199	249
#FDFDFE	80	24	55	105	-1	49
#FFFFFF	180	124	155	205	99	149
#FEFCFC	130	74	105	155	49	99
#FFFEFE	230	174	205	255	149	199
#FCF7F7	280	224	255	305	199	249
#49459F	130	24	105	155	-1	49
#FFFFFE	230	124	205	255	99	149
#FFFEFE	280	174	255	305	149	199
#FCF7F6	180	74	155	205	49	99
#8378BB	180	24	155	205	-1	49
#FEFDFE	280	124	255	305	99	149
#FEFEFE	230	74	205	255	49	99
#FEFDFC	330	174	305	355	149	199
#FFFFFF	280	74	255	305	49	99
#FDFDFE	330	124	305	355	99	149
#FDFBFB	230	24	205	255	-1	49
#F9F2F1	280	24	255	305	-1	49
#FFFFFF	330	74	305	355	49	99
#FEFCFC	380	124	355	405	99	149
#832424	330	24	305	355	-1	49
#FEFCFC	380	74	355	405	49	99
#C48A83	380	24	355	405	-1	49
#FDFCFE	430	74	405	455	49	99
#FFFFFF	430	24	405	455	-1	49
#FDFBFB	480	24	455	505	-1	49
