group	x	y	showSelected1
1	-20	24	21
1	-20	24	183
33	30	24	21
33	30	24	129
33	30	24	181
33	30	24	79
34	30	74	79
34	30	74	21
4	80	74	21
4	80	74	78
4	80	74	54
4	80	74	130
4	80	74	47
4	80	74	178
4	80	74	30
4	80	74	133
4	80	74	99
3	80	124	30
3	80	124	20
3	80	124	21
3	80	124	97
6	130	124	20
6	130	124	30
6	130	124	146
6	130	124	16
6	130	124	7
6	130	124	104
6	130	124	164
6	130	124	8
6	130	124	97
6	130	124	188
6	130	124	142
6	130	124	59
6	130	124	118
6	130	124	63
6	130	124	23
6	130	124	117
6	130	124	42
6	130	124	122
6	130	124	3
6	130	124	68
7	130	174	8
11	180	174	18
11	180	174	165
11	180	174	8
11	180	174	147
11	180	174	2
11	180	174	145
11	180	174	156
11	180	174	143
11	180	174	92
11	180	174	7
11	180	174	108
11	180	174	157
11	180	174	128
11	180	174	140
11	180	174	96
12	180	224	8
12	180	224	193
17	230	224	193
17	230	224	8
17	230	224	120
17	230	224	46
17	230	224	11
17	230	224	29
17	230	224	139
17	230	224	170
17	230	224	169
17	230	224	173
17	230	224	159
17	230	224	27
17	230	224	9
17	230	224	15
2	80	24	21
2	80	24	133
2	80	24	54
2	80	24	186
2	80	24	191
2	80	24	116
2	80	24	73
2	80	24	34
10	180	124	8
10	180	124	7
10	180	124	18
10	180	124	23
10	180	124	96
10	180	124	3
10	180	124	138
10	180	124	194
10	180	124	42
10	180	124	68
10	180	124	113
10	180	124	94
10	180	124	162
10	180	124	182
10	180	124	52
10	180	124	175
8	130	74	30
8	130	74	21
8	130	74	63
8	130	74	7
8	130	74	54
8	130	74	124
8	130	74	3
8	130	74	125
8	130	74	122
8	130	74	68
8	130	74	94
8	130	74	52
8	130	74	72
16	230	174	8
16	230	174	2
16	230	174	89
16	230	174	112
16	230	174	46
16	230	174	43
16	230	174	111
16	230	174	101
16	230	174	22
16	230	174	80
16	230	174	7
16	230	174	137
16	230	174	50
16	230	174	11
16	230	174	83
16	230	174	176
16	230	174	15
16	230	174	149
16	230	174	190
16	230	174	187
16	230	174	167
16	230	174	192
16	230	174	5
22	280	224	29
22	280	224	9
22	280	224	11
22	280	224	15
22	280	224	90
22	280	224	135
22	280	224	158
5	130	24	21
5	130	24	133
5	130	24	116
5	130	24	73
5	130	24	74
5	130	24	72
5	130	24	67
5	130	24	84
5	130	24	86
5	130	24	34
5	130	24	102
5	130	24	186
5	130	24	95
5	130	24	28
5	130	24	91
5	130	24	66
5	130	24	6
5	130	24	35
5	130	24	148
5	130	24	1
5	130	24	37
5	130	24	144
5	130	24	61
5	130	24	180
5	130	24	13
5	130	24	41
5	130	24	39
5	130	24	58
15	230	124	7
15	230	124	3
15	230	124	162
15	230	124	8
15	230	124	103
15	230	124	5
