group	fill	colour	clickSelects
1	#FFFFFF	#D3D3D3	12
2	#FFFFFF	#D3D3D3	12
3	#FFFFFF	#D3D3D3	12
4	#FFFFFF	#D3D3D3	12
5	#FFFFFF	#D3D3D3	12
6	#FFFFFF	#D3D3D3	12
7	#FFFFFF	#D3D3D3	12
8	#FFFFFF	#D3D3D3	12
9	#FFFFFF	#D3D3D3	12
10	#FFFFFF	#D3D3D3	12
11	#FFFFFF	#D3D3D3	5
12	#FFFFFF	#D3D3D3	5
13	#FFFFFF	#D3D3D3	5
14	#FFFFFF	#D3D3D3	12
15	#FFFFFF	#D3D3D3	5
16	#FFFFFF	#D3D3D3	5
17	#FFFFFF	#D3D3D3	5
18	#FFFFFF	#D3D3D3	5
19	#FFFFFF	#D3D3D3	5
20	#FFFFFF	#D3D3D3	5
21	#FFFFFF	#D3D3D3	5
22	#FFFFFF	#D3D3D3	12
23	#FFFFFF	#D3D3D3	12
24	#FFFFFF	#D3D3D3	12
25	#FFFFFF	#D3D3D3	12
26	#FFFFFF	#D3D3D3	12
27	#FFFFFF	#D3D3D3	12
28	#FFFFFF	#D3D3D3	5
29	#FFFFFF	#D3D3D3	5
30	#FFFFFF	#D3D3D3	5
31	#FFFFFF	#D3D3D3	5
32	#FFFFFF	#D3D3D3	5
33	#FFFFFF	#D3D3D3	5
34	#FFFFFF	#D3D3D3	12
35	#FFFFFF	#D3D3D3	12
36	#FFFFFF	#D3D3D3	12
37	#FFFFFF	#D3D3D3	12
38	#FFFFFF	#D3D3D3	12
39	#FFFFFF	#D3D3D3	12
40	#FFFFFF	#D3D3D3	5
41	#FFFFFF	#D3D3D3	12
42	#FFFFFF	#D3D3D3	5
43	#FFFFFF	#D3D3D3	5
44	#FFFFFF	#D3D3D3	5
45	#FFFFFF	#D3D3D3	5
46	#FFFFFF	#D3D3D3	12
47	#FFFFFF	#D3D3D3	12
48	#FFFFFF	#D3D3D3	12
49	#FFFFFF	#D3D3D3	12
50	#FFFFFF	#D3D3D3	12
52	#FFFFFF	#D3D3D3	12
53	#FFFFFF	#D3D3D3	12
54	#FFFFFF	#D3D3D3	12
55	#FFFFFF	#D3D3D3	12
56	#FFFFFF	#D3D3D3	12
57	#FFFFFF	#D3D3D3	12
58	#FFFFFF	#D3D3D3	12
59	#FFFFFF	#D3D3D3	12
60	#FFFFFF	#D3D3D3	12
61	#FFFFFF	#D3D3D3	5
62	#FFFFFF	#D3D3D3	5
63	#FFFFFF	#D3D3D3	5
64	#FFFFFF	#D3D3D3	12
65	#FFFFFF	#D3D3D3	5
66	#FFFFFF	#D3D3D3	5
67	#FFFFFF	#D3D3D3	5
68	#FFFFFF	#D3D3D3	5
69	#FFFFFF	#D3D3D3	5
70	#FFFFFF	#D3D3D3	5
71	#FFFFFF	#D3D3D3	5
72	#FFFFFF	#D3D3D3	5
73	#FFFFFF	#D3D3D3	12
74	#FFFFFF	#D3D3D3	12
75	#FFFFFF	#D3D3D3	12
76	#FFFFFF	#D3D3D3	12
77	#FFFFFF	#D3D3D3	12
78	#FFFFFF	#D3D3D3	12
79	#FFFFFF	#D3D3D3	5
80	#FFFFFF	#D3D3D3	5
81	#FFFFFF	#D3D3D3	5
82	#FFFFFF	#D3D3D3	5
83	#FFFFFF	#D3D3D3	5
84	#FFFFFF	#D3D3D3	5
85	#FFFFFF	#D3D3D3	12
86	#FFFFFF	#D3D3D3	12
87	#FFFFFF	#D3D3D3	12
88	#FFFFFF	#D3D3D3	12
89	#FFFFFF	#D3D3D3	12
90	#FFFFFF	#D3D3D3	12
91	#FFFFFF	#D3D3D3	12
92	#FFFFFF	#D3D3D3	5
93	#FFFFFF	#D3D3D3	5
94	#FFFFFF	#D3D3D3	5
95	#FFFFFF	#D3D3D3	5
97	#FFFFFF	#D3D3D3	12
98	#FFFFFF	#D3D3D3	12
99	#FFFFFF	#D3D3D3	12
100	#FFFFFF	#D3D3D3	12
101	#FFFFFF	#D3D3D3	12
102	#FFFFFF	#D3D3D3	12
103	#FFFFFF	#D3D3D3	12
104	#FFFFFF	#D3D3D3	12
105	#FFFFFF	#D3D3D3	12
106	#FFFFFF	#D3D3D3	12
107	#FFFFFF	#D3D3D3	12
108	#FFFFFF	#D3D3D3	12
109	#FFFFFF	#D3D3D3	12
110	#FFFFFF	#D3D3D3	5
111	#FFFFFF	#D3D3D3	5
112	#FFFFFF	#D3D3D3	5
113	#FFFFFF	#D3D3D3	5
114	#FFFFFF	#D3D3D3	5
115	#FFFFFF	#D3D3D3	12
116	#FFFFFF	#D3D3D3	5
117	#FFFFFF	#D3D3D3	5
118	#FFFFFF	#D3D3D3	5
119	#FFFFFF	#D3D3D3	5
120	#FFFFFF	#D3D3D3	5
121	#FFFFFF	#D3D3D3	5
122	#FFFFFF	#D3D3D3	12
123	#FFFFFF	#D3D3D3	12
124	#FFFFFF	#D3D3D3	12
125	#FFFFFF	#D3D3D3	12
126	#FFFFFF	#D3D3D3	12
127	#FFFFFF	#D3D3D3	12
128	#FFFFFF	#D3D3D3	12
129	#FFFFFF	#D3D3D3	12
130	#FFFFFF	#D3D3D3	12
131	#FFFFFF	#D3D3D3	5
132	#FFFFFF	#D3D3D3	5
133	#FFFFFF	#D3D3D3	5
134	#FFFFFF	#D3D3D3	5
135	#FFFFFF	#D3D3D3	5
136	#FFFFFF	#D3D3D3	5
137	#FFFFFF	#D3D3D3	12
138	#FFFFFF	#D3D3D3	12
139	#FFFFFF	#D3D3D3	12
140	#FFFFFF	#D3D3D3	12
141	#FFFFFF	#D3D3D3	12
142	#FFFFFF	#D3D3D3	12
143	#FFFFFF	#D3D3D3	5
144	#FFFFFF	#D3D3D3	5
145	#FFFFFF	#D3D3D3	5
146	#FFFFFF	#D3D3D3	5
147	#FFFFFF	#D3D3D3	12
148	#FFFFFF	#D3D3D3	12
149	#FFFFFF	#D3D3D3	12
150	#FFFFFF	#D3D3D3	12
151	#FFFFFF	#D3D3D3	12
153	#FFFFFF	#D3D3D3	12
154	#FFFFFF	#D3D3D3	12
155	#FFFFFF	#D3D3D3	12
156	#FFFFFF	#D3D3D3	5
157	#FFFFFF	#D3D3D3	5
158	#FFFFFF	#D3D3D3	5
159	#FFFFFF	#D3D3D3	5
160	#FFFFFF	#D3D3D3	5
161	#FFFFFF	#D3D3D3	5
162	#FFFFFF	#D3D3D3	5
163	#FFFFFF	#D3D3D3	5
164	#FFFFFF	#D3D3D3	12
165	#FFFFFF	#D3D3D3	12
166	#FFFFFF	#D3D3D3	12
167	#FFFFFF	#D3D3D3	12
168	#FFFFFF	#D3D3D3	12
169	#FFFFFF	#D3D3D3	12
170	#FFFFFF	#D3D3D3	5
171	#FFFFFF	#D3D3D3	12
172	#FFFFFF	#D3D3D3	12
173	#FFFFFF	#D3D3D3	12
174	#FFFFFF	#D3D3D3	12
175	#FFFFFF	#D3D3D3	5
176	#FFFFFF	#D3D3D3	12
177	#FFFFFF	#D3D3D3	5
178	#FFFFFF	#D3D3D3	12
179	#FFFFFF	#D3D3D3	12
180	#FFFFFF	#D3D3D3	12
181	#FFFFFF	#D3D3D3	12
182	#FFFFFF	#D3D3D3	12
183	#FFFFFF	#D3D3D3	12
184	#FFFFFF	#D3D3D3	57
185	#FFFFFF	#D3D3D3	57
186	#FFFFFF	#D3D3D3	57
187	#FFFFFF	#D3D3D3	12
188	#FFFFFF	#D3D3D3	57
189	#FFFFFF	#D3D3D3	12
190	#FFFFFF	#D3D3D3	12
191	#FFFFFF	#D3D3D3	12
192	#FFFFFF	#D3D3D3	12
193	#FFFFFF	#D3D3D3	12
194	#FFFFFF	#D3D3D3	12
195	#FFFFFF	#D3D3D3	12
196	#FFFFFF	#D3D3D3	12
198	#FFFFFF	#D3D3D3	12
199	#FFFFFF	#D3D3D3	12
200	#FFFFFF	#D3D3D3	12
201	#FFFFFF	#D3D3D3	12
202	#FFFFFF	#D3D3D3	5
203	#FFFFFF	#D3D3D3	12
204	#FFFFFF	#D3D3D3	12
205	#FFFFFF	#D3D3D3	12
206	#FFFFFF	#D3D3D3	5
207	#FFFFFF	#D3D3D3	5
208	#FFFFFF	#D3D3D3	5
209	#FFFFFF	#D3D3D3	5
210	#FFFFFF	#D3D3D3	5
211	#FFFFFF	#D3D3D3	5
212	#FFFFFF	#D3D3D3	5
213	#FFFFFF	#D3D3D3	5
214	#FFFFFF	#D3D3D3	12
215	#FFFFFF	#D3D3D3	12
216	#FFFFFF	#D3D3D3	12
217	#FFFFFF	#D3D3D3	12
218	#FFFFFF	#D3D3D3	12
219	#FFFFFF	#D3D3D3	12
220	#FFFFFF	#D3D3D3	5
221	#FFFFFF	#D3D3D3	5
222	#FFFFFF	#D3D3D3	12
223	#FFFFFF	#D3D3D3	12
224	#FFFFFF	#D3D3D3	12
225	#FFFFFF	#D3D3D3	12
226	#FFFFFF	#D3D3D3	5
227	#FFFFFF	#D3D3D3	12
