group	fill	clickSelects
1	#FFFFFF	32
2	#FFFFFF	5
3	#FFFFFF	5
4	#FFFFFF	5
5	#FFFFFF	5
6	#FFFFFF	5
7	#FFFFFF	5
8	#FFFFFF	5
9	#FFFFFF	32
10	#FFFFFF	5
11	#FFFFFF	5
12	#FFFFFF	5
13	#FFFFFF	5
14	#FFFFFF	5
15	#FFFFFF	5
16	#FFFFFF	5
17	#FFFFFF	5
18	#FFFFFF	5
19	#FFFFFF	5
20	#FFFFFF	5
21	#FFFFFF	5
22	#FFFFFF	5
23	#FFFFFF	5
24	#FFFFFF	5
25	#FFFFFF	5
26	#FFFFFF	5
27	#FFFFFF	5
28	#FFFFFF	5
29	#FFFFFF	5
30	#FFFFFF	5
31	#FFFFFF	5
32	#FFFFFF	5
33	#FFFFFF	5
34	#FFFFFF	5
35	#FFFFFF	5
36	#FFFFFF	5
37	#FFFFFF	5
38	#FFFFFF	5
39	#FFFFFF	5
40	#FFFFFF	5
41	#FFFFFF	172
42	#FFFFFF	172
43	#FFFFFF	172
44	#FFFFFF	172
45	#FFFFFF	172
46	#FFFFFF	5
47	#FFFFFF	5
48	#FFFFFF	5
49	#FFFFFF	5
50	#FFFFFF	5
51	#FFFFFF	32
52	#FFFFFF	32
53	#FFFFFF	5
54	#FFFFFF	32
55	#FFFFFF	32
56	#FFFFFF	32
57	#FFFFFF	5
58	#FFFFFF	32
59	#FFFFFF	5
60	#FFFFFF	32
61	#FFFFFF	5
62	#FFFFFF	5
63	#FFFFFF	5
64	#FFFFFF	5
65	#FFFFFF	5
66	#FFFFFF	5
67	#FFFFFF	5
68	#FFFFFF	5
69	#FFFFFF	5
70	#FFFFFF	5
71	#FFFFFF	5
72	#FFFFFF	5
73	#FFFFFF	5
74	#FFFFFF	5
75	#FFFFFF	5
76	#FFFFFF	5
77	#FFFFFF	5
78	#FFFFFF	5
79	#FFFFFF	5
80	#FFFFFF	5
81	#FFFFFF	5
82	#FFFFFF	5
83	#FFFFFF	5
84	#FFFFFF	5
85	#FFFFFF	5
86	#FFFFFF	5
87	#FFFFFF	5
88	#FFFFFF	5
89	#FFFFFF	5
90	#FFFFFF	5
91	#FFFFFF	172
92	#FFFFFF	172
93	#FFFFFF	172
94	#FFFFFF	172
95	#FFFFFF	172
96	#FFFFFF	172
97	#FFFFFF	5
98	#FFFFFF	5
99	#FFFFFF	5
100	#FFFFFF	5
101	#FFFFFF	5
102	#FFFFFF	5
103	#FFFFFF	5
104	#FFFFFF	5
105	#FFFFFF	32
106	#FFFFFF	32
107	#FFFFFF	5
108	#FFFFFF	5
109	#FFFFFF	32
110	#FFFFFF	32
111	#FFFFFF	5
112	#FFFFFF	5
113	#FFFFFF	5
114	#FFFFFF	5
115	#FFFFFF	5
116	#FFFFFF	5
117	#FFFFFF	5
118	#FFFFFF	5
119	#FFFFFF	5
120	#FFFFFF	5
121	#FFFFFF	5
122	#FFFFFF	5
123	#FFFFFF	32
124	#FFFFFF	5
125	#FFFFFF	5
126	#FFFFFF	5
127	#FFFFFF	5
128	#FFFFFF	5
129	#FFFFFF	5
130	#FFFFFF	5
131	#FFFFFF	5
132	#FFFFFF	5
133	#FFFFFF	5
134	#FFFFFF	5
135	#FFFFFF	5
136	#FFFFFF	5
137	#FFFFFF	32
138	#FFFFFF	5
139	#FFFFFF	5
140	#FFFFFF	5
141	#FFFFFF	172
142	#FFFFFF	172
143	#FFFFFF	172
144	#FFFFFF	172
145	#FFFFFF	172
146	#FFFFFF	172
147	#FFFFFF	32
148	#FFFFFF	5
149	#FFFFFF	5
150	#FFFFFF	5
151	#FFFFFF	5
152	#FFFFFF	32
153	#FFFFFF	32
154	#FFFFFF	32
155	#FFFFFF	32
156	#FFFFFF	32
